C	C*	Prob(w,v)
1	0.3373292311616266	5.645715304564827E-7
10	8.731001206272618	1.4612652145407864E-5
100	303.0	5.071163656325733E-4
101	34.0	5.6904146638638585E-5
102	231.75	3.8786870539719094E-4
103	57.77777777777778	9.66998570329806E-5
104	126.0	2.108800728373077E-4
105	106.0	1.774070454028144E-4
106	142.66666666666666	2.387742623660521E-4
107	94.5	1.5816005462798079E-4
108	15.571428571428571	2.606114278828406E-5
109	440.0	7.364066035588523E-4
11	9.720364741641337	1.6268501783512084E-5
110	138.75	2.3221912782679717E-4
111	67.2	1.1246937217989744E-4
112	263.6666666666667	4.412860783447365E-4
113	48.857142857142854	8.176982416140502E-5
114	421.66666666666663	7.057229950772334E-4
115	21.09090909090909	3.529882893092019E-5
116	175.5	2.937258157376786E-4
117	236.0	3.949817237270208E-4
118	119.0	1.9916451323523504E-4
119	120.0	2.008381646069597E-4
12	11.463414634146341	1.9185759627087615E-5
120	161.33333333333331	2.700157546382458E-4
121	106.75	1.786622839316079E-4
122	158.14285714285717	2.6467600978560054E-4
123	55.11111111111111	9.223678670838149E-5
124	156.25	2.615080268319788E-4
125	176.39999999999998	2.952321019722307E-4
126	90.71428571428572	1.518240887207374E-4
127	51.2	8.569095023230281E-5
128	258.0	4.318020539049634E-4
129	65.0	1.0878733916210317E-4
13	12.093617021276597	2.0240498716772323E-5
130	327.5	5.481208242398276E-4
131	79.2	1.3255318864059342E-4
132	88.66666666666666	1.483970882929202E-4
133	201.0	3.364039257166575E-4
134	135.0	2.2594293518282967E-4
135	136.0	2.2761658655455434E-4
138	695.0	0.0011631877033486417
139	140.0	2.3431119204145298E-4
14	13.226600985221676	2.2136718882171056E-5
140	56.400000000000006	9.439393736527107E-5
141	142.0	2.3765849478490233E-4
142	143.0	2.3933214615662698E-4
143	216.0	3.6150869629252746E-4
144	96.66666666666666	1.6178629926671753E-4
145	146.0	2.44353100271801E-4
146	220.5	3.690401274652885E-4
147	246.66666666666669	4.128340050254172E-4
148	89.39999999999999	1.4962443263218496E-4
15	14.525139664804469	2.431001992449233E-5
151	30.400000000000002	5.0879001700429794E-5
152	459.0	7.682059796216209E-4
155	93.6	1.5665376839342856E-4
156	157.0	2.627632653607723E-4
157	52.666666666666664	8.814563891083231E-5
158	318.0	5.322211362084432E-4
159	320.0	5.355684389518926E-4
16	16.163076923076925	2.705135586359896E-5
162	54.33333333333333	9.093505786370676E-5
163	492.0	8.234364748885348E-4
164	165.0	2.761524763345696E-4
165	332.0	5.556522554125886E-4
166	27.833333333333332	4.6583296513003154E-5
